127.0.0.1 - - [11/Dec/2019:02:08:00 -0500] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:08:01 -0500] "GET /cs336Final/ HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:08:01 -0500] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:08:53 -0500] "POST /cs336Final/checkLoginDetails.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:08:53 -0500] "GET /cs336Final/success.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:08:53 -0500] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:09:09 -0500] "GET /cs336Final/sales.jsp HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:09:10 -0500] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:09:48 -0500] "POST /cs336Final/reservationCustomer.jsp HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:09:48 -0500] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:10:03 -0500] "GET /HomePages/CustomerRepHome.jsp HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:10:04 -0500] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:10:37 -0500] "POST /cs336Final/revenueFlight.jsp HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:10:38 -0500] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:13:58 -0500] "GET /cs336Final/sales.jsp HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [11/Dec/2019:02:14:21 -0500] "POST /cs336Final/revenueCustomer.jsp HTTP/1.1" 200 832
